1	1	6.6713	8.4672	rfp
1	4	42.2210	36.6811	rfp
2	1	37.7547	14.02875	rfp
2	2	26.2171	19.9907	rfp
2	3	29.2315	26.4341	rfp
2	4	46.7129	26.1721	rfp
2	6	4.4113	54.8826	rfp
2	7	20.6042	56.4216	cy5
3	1	2.6213	9.4683	cy5
3	2	15.8025	11.0346	gfp
3	3	8.2596	12.1385	gfp
3	6	10.8527	24.5644	gfp
4	1	9.1676	7.3143	cy5
5	1	37.4844	10.7318	cy5
5	2	21.9856	18.3899	cy5
5	3	50.6904	19.5567	cy5
5	4	18.1109	24.8212	cy5
5	5	30.0705	26.7467	gfp
5	6	48.4825	28.9934	gfp
5	7	38.2566	30.26125	gfp
5	8	37.3731	36.6268	gfp
5	9	43.6355	38.1326	cy5
5	10	5.3077	63.6691	rfp
6	1	21.8536	11.7967	gfp
6	2	21.7785	23.3405	gfp
6	3	5.7916	25.37	gfp
7	1	24.5503	6.7171	gfp
7	4	37.7659	39.5341	gfp
8	1	100.6926	11.57775	gfp
8	2	60.845	20.6009	cy5
8	4	66.0204	25.9666	cy5
8	5	58.5504	26.8676	gfp
8	6	98.9798	37.2609	gfp
8	7	51.2091	37.1755	cy5
8	8	33.4155	45.6139	gfp
8	9	108.7843	51.1078	gfp
8	10	20.4986	54.6270	gfp
8	11	128.5839	52.5259	cy5
8	12	116.6266	55.0903	gfp
8	13	71.9809	62.7923	gfp
8	14	33.6981	64.2154	gfp
8	15	69.6651	71.0985	gfp
8	16	42.0284	71.8445	gfp
8	17	8.4271	79.2859	rfp
8	18	53.8927	78.8952	gfp
8	20	109.5680	80.6961	cy5
8	21	36.7799	81.7810	gfp
8	22	79.7416	84.4903	gfp
8	23	47.7110	86.4490	gfp
8	24	12.3532	87.7901	rfp
8	26	89.7237	91.3732	gfp
8	28	77.8363	99.16875	gfp
9	1	27.4966	12.0867	gfp
9	2	34.3642	14.0108	gfp
9	3	14.2697	18.1397	cy5
9	4	7.0657	19.0348	gfp
9	5	34.9129	20.5694	gfp
9	7	40.0060	36.9662	cy5
10	1	37.5256	36.8563	gfp
10	2	45.1198	46.8028	rfp
11	1	33.6795	4.9107	rfp
11	2	28.7989	16.1732	gfp
11	3	11.1662	21.3648	gfp
11	4	50.7042	23.3633	gfp
11	5	21.7102	24.6955	gfp
11	6	6.2169	26.0012	gfp
11	7	41.7550	31.8571	gfp
11	8	7.5899	34.4564	gfp
11	10	37.6930	41.7539	gfp
12	1	12.2908	3.3594	cy5
12	2	6.2392	9.6725	cy5
12	3	12.6244	8.9186	cy5
13	1	19.0220	14.2258	gfp
13	2	26.8085	20.4817	gfp
13	3	29.0166	28.8072	gfp
